0,1,2,3,4,5,6
1,4,10,11,15,36,49
1,4,18,22,28,40,41
1,5,10,11,26,44,49
1,6,11,23,27,34,43
1,6,17,20,23,27,35
1,6,23,24,32,43,50
1,7,14,18,23,27,34
1,10,33,39,40,48,50
1,13,34,35,38,39,50
2,3,10,28,43,47,48
2,3,12,15,17,26,42
2,3,12,17,25,28,46
2,3,17,27,39,40,50
2,5,24,30,37,39,41
2,7,11,14,23,28,41
2,14,23,30,38,44,48
2,16,20,33,44,46,47
3,4,5,19,24,31,36
3,4,8,9,14,26,45
3,6,19,24,31,40,48
3,7,20,24,34,44,46
3,9,34,35,46,48,49
3,11,21,31,32,43,48
3,13,22,26,28,34,48
3,15,20,21,29,32,44
4,5,6,10,20,36,48
4,8,11,18,34,41,46
4,14,22,29,34,35,46
4,18,24,25,28,29,41
4,20,26,34,44,45,46
5,7,9,22,39,43,50
5,9,30,33,35,37,50
5,10,12,35,37,44,47
5,12,14,18,24,41,46
5,12,20,24,33,43,50
5,20,28,35,40,43,46
6,12,18,26,29,44,47
6,13,16,17,28,29,50
6,13,16,25,28,39,49
6,20,25,27,32,44,47
6,22,24,28,38,45,47
7,9,11,21,23,42,50
7,12,14,17,30,40,47
7,12,19,26,32,40,46
7,13,29,30,38,49,50
7,14,15,18,24,32,39
7,17,23,35,42,43,46
7,18,28,32,44,45,48
7,23,31,37,38,41,45
8,10,13,28,31,41,43
8,11,13,18,35,39,44
8,13,15,24,29,31,33
8,14,24,28,35,46,48
9,13,21,23,37,45,46
9,23,31,32,34,41,49
10,19,37,40,43,45,47
10,20,24,26,31,32,46
10,23,25,26,33,46,49
12,19,22,33,40,45,49
12,21,22,25,34,38,46
13,21,23,38,42,48,50
14,15,34,36,37,43,48
14,26,37,44,46,47,49
16,17,21,25,31,40,49
16,17,24,28,30,31,38
20,23,31,34,42,46,48
22,27,33,34,42,43,44
24,29,31,34,36,44,47
25,29,32,34,36,38,48
2,8,12,13,14,36,43
1,2,7,20,21,33,44
1,2,8,16,17,49,50
1,3,4,20,25,42,50
1,4,9,21,26,29,39
1,4,16,36,44,45,46
1,6,8,10,13,30,43
1,9,18,22,41,47,48
1,10,14,19,21,24,32
1,12,13,15,16,31,44
1,18,22,31,32,40,43
2,3,4,20,35,37,43
2,3,6,18,25,31,43
2,5,21,23,27,31,32
2,8,10,11,17,19,31
2,10,13,14,18,20,31
2,13,21,27,36,37,43
2,13,21,32,37,40,46
2,18,29,41,43,48,50
2,33,35,40,43,48,50
3,4,34,35,41,47,49
3,5,7,26,29,31,42
3,6,16,30,34,38,49
3,7,9,17,26,38,39
3,10,16,32,34,39,42
3,11,14,15,29,39,43
4,8,11,15,19,24,41
4,8,13,31,40,41,50
4,12,15,29,38,41,49
4,13,14,17,18,28,39
4,17,24,29,34,40,47
5,6,9,18,20,32,40
5,9,14,26,29,31,32
5,9,20,25,41,45,48
5,11,13,14,20,30,40
5,27,34,35,36,41,46
6,8,13,18,20,21,32
6,9,11,13,31,36,46
6,9,11,17,27,31,32
6,11,21,22,27,35,42
6,13,31,35,38,40,41
6,18,29,31,36,38,39
7,8,14,26,44,45,48
7,11,12,15,23,33,36
7,11,26,27,30,36,38
7,12,17,23,31,37,48
7,23,26,35,40,47,48
8,10,14,17,26,34,49
8,15,23,30,32,36,38
8,19,21,25,30,31,40
10,27,36,41,43,44,45
11,20,21,22,26,33,48
12,14,15,17,24,37,39
12,15,19,35,41,42,46
12,40,42,43,46,47,48
15,21,26,27,31,36,40
16,19,20,34,41,43,50
16,20,23,25,42,44,45
17,30,36,39,41,47,48
18,19,21,31,32,41,47
19,25,28,36,41,43,44
20,22,28,30,39,41,42
20,25,31,35,39,41,44
27,29,30,34,37,41,44
29,30,31,32,37,40,46
20,21,25,33,38,44,45
1,2,3,10,13,41,42
1,2,7,18,19,21,27
1,4,6,21,24,27,36
1,6,12,22,27,35,37
1,7,30,34,42,44,46
1,12,19,26,33,38,49
1,24,34,40,42,47,50
1,26,30,32,34,39,46
2,3,6,21,35,38,48
2,3,10,14,27,40,48
2,5,8,12,18,44,48
2,5,8,13,24,34,41
2,5,15,23,28,32,39
2,11,17,23,37,43,46
2,12,19,32,38,39,49
2,13,14,17,20,35,37
2,19,22,23,36,38,50
2,25,27,34,35,42,47
3,8,14,16,31,43,44
3,8,15,21,27,41,49
3,12,16,23,31,44,50
3,18,29,37,43,45,46
4,8,21,25,27,33,39
4,10,11,16,28,31,36
4,25,29,30,32,35,44
5,8,12,34,36,47,49
6,7,18,32,35,36,43
6,7,21,25,35,40,48
6,8,11,15,27,28,43
6,8,16,30,35,38,49
6,10,21,27,30,39,46
6,13,27,28,30,31,38
6,23,26,29,35,42,44
7,10,18,23,32,35,41
7,15,22,27,32,39,43
7,20,37,44,47,49,50
8,9,19,23,32,37,40
8,11,19,26,30,34,44
8,13,15,16,22,29,32
8,17,23,24,44,46,49
8,23,24,33,34,35,46
9,16,18,24,45,48,49
9,18,21,23,32,36,39
10,14,22,23,24,34,45
11,16,20,21,24,31,47
11,17,20,26,34,37,48
11,31,35,42,43,46,47
12,13,15,20,34,44,45
12,20,21,32,43,46,50
12,21,24,30,31,37,47
14,21,26,30,32,36,46
15,24,26,30,32,33,34
16,29,30,33,41,42,48
17,19,29,37,39,40,42
21,22,32,33,41,45,49
29,32,33,35,38,49,50
1,9,14,24,26,37,42
1,2,6,9,27,33,41
1,7,8,14,15,18,36
1,10,17,19,20,22,32
1,12,30,36,41,45,47
1,19,22,39,40,45,48
2,3,8,22,30,31,40
2,3,20,31,36,41,45
2,5,6,13,20,28,38
2,5,8,28,30,32,49
2,8,14,25,31,44,45
2,10,13,16,24,25,47
2,12,17,27,36,41,47
3,4,9,18,32,42,47
3,7,10,11,16,31,38
3,7,16,25,26,28,36
3,12,15,22,23,38,48
4,5,23,27,38,42,47
4,6,13,25,37,41,47
4,8,14,20,21,28,44
4,9,19,26,38,39,49
4,10,11,14,20,32,45
4,12,17,20,31,48,49
