0,1,2,3,4,5,6
01,04,18,22,28,40,41
01,05,10,11,26,44,49
01,06,11,23,27,34,43
01,06,17,20,23,27,35
01,06,23,24,32,43,50
01,07,14,18,23,27,34
01,10,33,39,40,48,50
01,13,34,35,38,39,50
02,03,10,28,43,47,48
02,03,12,15,17,26,42
02,03,12,17,25,28,46
02,03,17,27,39,40,50
02,05,24,30,37,39,41
02,07,11,14,23,28,41
02,14,23,30,38,44,48
02,16,20,33,44,46,47
03,04,05,19,24,31,36
03,04,08,09,14,26,45
03,06,19,24,31,40,48
03,07,20,24,34,44,46
03,09,34,35,46,48,49
03,11,21,31,32,43,48
03,13,22,26,28,34,48
03,15,20,21,29,32,44
04,05,06,10,20,36,48
04,08,11,18,34,41,46
04,14,22,29,34,35,46
04,18,24,25,28,29,41
04,20,26,34,44,45,46
05,07,09,22,39,43,50
05,09,30,33,35,37,50
05,10,12,35,37,44,47
05,12,14,18,24,41,46
05,12,20,24,33,43,50
05,20,28,35,40,43,46
06,12,18,26,29,44,47
06,13,16,17,28,29,50
06,13,16,25,28,39,49
06,20,25,27,32,44,47
06,22,24,28,38,45,47
07,09,11,21,23,42,50
07,12,14,17,30,40,47
07,12,19,26,32,40,46
07,13,29,30,38,49,50
07,14,15,18,24,32,39
07,17,23,35,42,43,46
07,18,28,32,44,45,48
07,23,31,37,38,41,45
08,10,13,28,31,41,43
08,11,13,18,35,39,44
08,13,15,24,29,31,33
08,14,24,28,35,46,48
09,13,21,23,37,45,46
09,23,31,32,34,41,49
10,19,37,40,43,45,47
10,20,24,26,31,32,46
10,23,25,26,33,46,49
12,19,22,33,40,45,49
12,21,22,25,34,38,46
13,21,23,38,42,48,50
14,15,34,36,37,43,48
14,26,37,44,46,47,49
16,17,21,25,31,40,49
16,17,24,28,30,31,38
20,23,31,34,42,46,48
22,27,33,34,42,43,44
24,29,31,34,36,44,47
25,29,32,34,36,38,48
02,08,12,13,14,36,43
01,02,07,20,21,33,44
01,02,08,16,17,49,50
01,03,04,20,25,42,50
01,04,09,21,26,29,39
01,04,16,36,44,45,46
01,06,08,10,13,30,43
01,09,18,22,41,47,48
01,10,14,19,21,24,32
01,12,13,15,16,31,44
01,18,22,31,32,40,43
02,03,04,20,35,37,43
02,03,06,18,25,31,43
02,05,21,23,27,31,32
02,08,10,11,17,19,31
02,10,13,14,18,20,31
02,13,21,27,36,37,43
02,13,21,32,37,40,46
02,18,29,41,43,48,50
02,33,35,40,43,48,50
03,04,34,35,41,47,49
03,05,07,26,29,31,42
03,06,16,30,34,38,49
03,07,09,17,26,38,39
03,10,16,32,34,39,42
03,11,14,15,29,39,43
04,08,11,15,19,24,41
04,08,13,31,40,41,50
04,12,15,29,38,41,49
04,13,14,17,18,28,39
04,17,24,29,34,40,47
05,06,09,18,20,32,40
05,09,14,26,29,31,32
05,09,20,25,41,45,48
05,11,13,14,20,30,40
05,27,34,35,36,41,46
06,08,13,18,20,21,32
06,09,11,13,31,36,46
06,09,11,17,27,31,32
06,11,21,22,27,35,42
06,13,31,35,38,40,41
06,18,29,31,36,38,39
07,08,14,26,44,45,48
07,11,12,15,23,33,36
07,11,26,27,30,36,38
07,12,17,23,31,37,48
07,23,26,35,40,47,48
08,10,14,17,26,34,49
08,15,23,30,32,36,38
08,19,21,25,30,31,40
10,27,36,41,43,44,45
11,20,21,22,26,33,48
12,14,15,17,24,37,39
12,15,19,35,41,42,46
12,40,42,43,46,47,48
15,21,26,27,31,36,40
16,19,20,34,41,43,50
16,20,23,25,42,44,45
17,30,36,39,41,47,48
18,19,21,31,32,41,47
19,25,28,36,41,43,44
20,22,28,30,39,41,42
20,25,31,35,39,41,44
27,29,30,34,37,41,44
29,30,31,32,37,40,46
20,21,25,33,38,44,45
01,02,03,10,13,41,42
01,02,07,18,19,21,27
01,04,06,21,24,27,36
01,06,12,22,27,35,37
01,07,30,34,42,44,46
01,12,19,26,33,38,49
01,24,34,40,42,47,50
01,26,30,32,34,39,46
02,03,06,21,35,38,48
02,03,10,14,27,40,48
02,05,08,12,18,44,48
02,05,08,13,24,34,41
02,05,15,23,28,32,39
02,11,17,23,37,43,46
02,12,19,32,38,39,49
02,13,14,17,20,35,37
02,19,22,23,36,38,50
02,25,27,34,35,42,47
03,08,14,16,31,43,44
03,08,15,21,27,41,49
03,12,16,23,31,44,50
03,18,29,37,43,45,46
04,08,21,25,27,33,39
04,10,11,16,28,31,36
04,25,29,30,32,35,44
05,08,12,34,36,47,49
06,07,18,32,35,36,43
06,07,21,25,35,40,48
06,08,11,15,27,28,43
06,08,16,30,35,38,49
06,10,21,27,30,39,46
06,13,27,28,30,31,38
06,23,26,29,35,42,44
07,10,18,23,32,35,41
07,15,22,27,32,39,43
07,20,37,44,47,49,50
08,09,19,23,32,37,40
08,11,19,26,30,34,44
08,13,15,16,22,29,32
08,17,23,24,44,46,49
08,23,24,33,34,35,46
09,16,18,24,45,48,49
09,18,21,23,32,36,39
10,14,22,23,24,34,45
11,16,20,21,24,31,47
11,17,20,26,34,37,48
11,31,35,42,43,46,47
12,13,15,20,34,44,45
12,20,21,32,43,46,50
12,21,24,30,31,37,47
14,21,26,30,32,36,46
15,24,26,30,32,33,34
16,29,30,33,41,42,48
17,19,29,37,39,40,42
21,22,32,33,41,45,49
29,32,33,35,38,49,50
01,09,14,24,26,37,42
01,02,06,09,27,33,41
01,07,08,14,15,18,36
01,10,17,19,20,22,32
01,12,30,36,41,45,47
01,19,22,39,40,45,48
02,03,08,22,30,31,40
02,03,20,31,36,41,45
02,05,06,13,20,28,38
02,05,08,28,30,32,49
02,08,14,25,31,44,45
02,10,13,16,24,25,47
02,12,17,27,36,41,47
03,04,09,18,32,42,47
03,07,10,11,16,31,38
03,07,16,25,26,28,36
03,12,15,22,23,38,48
04,05,23,27,38,42,47
04,06,13,25,37,41,47
04,08,14,20,21,28,44
04,09,19,26,38,39,49
04,10,11,14,20,32,45
04,12,17,20,31,48,49
04,14,26,32,36,45,47
04,15,17,26,28,36,39
04,16,17,18,25,27,44
05,07,08,12,14,18,37
05,15,18,28,39,42,47
05,15,24,25,33,37,45
06,10,13,20,25,26,33
06,12,13,26,29,32,41
06,12,19,29,38,46,49
07,08,13,14,18,25,29
07,09,10,34,37,43,45
07,09,14,19,21,29,33
07,24,31,32,38,42,45
08,09,12,25,38,39,46
09,11,18,21,26,31,45
09,16,17,18,24,31,42
10,13,17,28,34,42,50
10,15,28,30,32,39,44
11,12,16,27,34,41,47
11,16,19,42,45,46,50
13,18,24,27,37,38,44
13,20,22,23,29,31,46
14,16,19,24,27,37,40
14,17,27,29,37,38,49
14,24,25,29,30,36,43
18,28,36,37,42,44,45
20,23,28,29,38,45,46
21,29,30,35,41,42,45
02,03,16,28,31,42,47
01,02,03,13,18,42,50
01,19,25,27,30,31,48
02,06,14,25,26,29,47
02,07,14,26,28,40,41
02,08,19,21,26,41,46
02,09,17,26,32,45,47
02,11,14,30,31,37,42
02,14,15,26,27,34,36
02,14,33,34,35,40,47
03,04,06,11,16,22,37
03,06,18,23,39,44,50
03,10,12,14,15,39,42
03,11,12,19,37,42,48
04,06,21,22,24,40,43
04,08,15,16,25,40,49
04,11,16,26,39,46,48
04,28,30,33,38,46,50
05,07,15,23,25,43,50
05,08,10,12,32,45,46
05,09,13,14,29,34,50
05,09,17,20,25,26,30
05,11,27,31,42,45,49
05,18,28,31,34,36,50
06,07,10,28,34,35,38
06,17,29,35,37,42,46
08,10,15,16,31,36,38
08,10,24,26,31,40,43
09,17,22,35,40,47,49
10,11,14,15,37,38,45
11,15,28,33,42,48,49
17,21,28,30,32,37,38
18,20,21,38,42,44,48
19,23,29,34,37,38,48
06,20,21,28,38,43,47
01,09,33,36,39,40,43
01,27,29,31,37,38,44
03,04,11,12,31,40,49
03,06,07,08,10,18,49
03,09,12,13,19,41,49
03,09,13,18,20,29,38
03,20,26,30,32,40,50
04,10,16,21,31,35,36
06,07,24,31,43,44,49
06,09,17,27,28,37,48
06,09,18,23,34,35,38
06,13,17,21,28,29,49
07,08,18,30,36,44,46
07,25,30,40,46,47,50
08,11,13,28,35,37,47
09,11,23,42,45,46,47
09,18,25,37,40,44,47
18,21,34,36,40,43,44
19,22,23,25,34,37,40
25,36,38,41,46,49,50
07,18,22,40,44,46,50
01,04,10,24,28,36,47
01,09,19,24,35,40,43
01,20,35,36,38,42,45
